episode,q_predicted,realized_return,first_action,rank_by_q,rank_by_return
435,4.359384,7.263431270751114,3,420.0,108.0
407,4.3823676,-24.774336037489274,3,421.0,4.0
224,4.3996196,-2.591981296401542,3,422.0,61.0
370,4.4055514,-13.788925460788615,3,423.0,22.0
471,4.4072666,-17.69860437119928,3,424.0,12.0
459,4.416386,-14.67696097359648,3,425.0,19.0
393,4.417388,-10.106699605334919,3,426.0,34.0
309,4.4187922,-27.96851739896571,3,427.0,2.0
105,4.4227824,-10.400106650922933,3,428.0,33.0
324,4.436836,-8.151026663861515,3,429.0,38.0
253,4.4408116,-9.169093565881617,3,430.0,36.0
211,4.445063,-4.448593247820002,3,431.0,53.0
478,4.445098,-4.2267298729319664,3,432.0,54.0
104,4.4511986,-23.535833650608254,3,433.0,5.0
385,4.465002,-12.639869914847946,3,434.0,25.0
28,4.4696045,-19.277549185574763,3,435.0,9.0
21,4.4721045,-6.429555294036908,3,436.0,43.0
67,4.4752617,-16.1844506270125,3,437.0,15.0
372,4.4817023,-11.657475885470102,3,438.0,28.0
430,4.4844327,-2.391139011808359,3,439.0,64.0
26,4.4909,-4.205260679086178,3,440.0,55.0
201,4.500115,-26.803656152201267,3,441.0,3.0
473,4.511511,-11.76378661501969,3,442.0,27.0
88,4.513835,-41.72176273731927,3,443.0,1.0
291,4.5168157,9.591753979636575,3,444.0,125.0
34,4.5228906,4.388322501462809,3,445.0,95.0
232,4.5252023,-5.801414689451637,3,446.0,45.0
168,4.5282445,10.793580944845388,3,447.0,174.0
325,4.5333133,2.4170164293973144,3,448.0,88.0
244,4.5353103,-7.911722916568028,3,449.0,40.0
231,4.5407224,-11.498209579147733,3,450.0,29.0
6,4.541302,-7.3209720972348435,3,451.0,41.0
283,4.549293,-12.238149735959219,3,452.0,26.0
251,4.5529838,-1.2913868471650236,3,453.0,72.0
139,4.553601,4.455683299508524,3,454.0,96.0
194,4.5560584,-0.06640259419742645,3,455.0,76.0
151,4.561646,-3.8491313990817613,3,456.0,56.0
401,4.5625997,-3.0921788249970485,3,457.0,58.0
334,4.5626593,-4.492215825573026,3,458.0,52.0
195,4.5654163,-10.077902895406591,3,459.0,35.0
134,4.568825,-8.235310550265915,3,460.0,37.0
131,4.5706086,-21.803650899330137,3,461.0,6.0
259,4.5730414,-10.71512259015805,3,462.0,32.0
234,4.573971,-14.348908889411316,3,463.0,20.0
493,4.5787983,-18.276975911088705,3,464.0,10.0
464,4.5823836,2.237660754123618,3,465.0,86.0
298,4.5862203,-5.359421663722545,3,466.0,49.0
368,4.588486,5.387584477786053,3,467.0,99.0
302,4.590465,-7.046710932164063,3,468.0,42.0
439,4.5908823,0.3223401486400488,3,469.0,78.0
241,4.5940213,3.835639864897882,3,470.0,92.0
489,4.5988007,7.5182037122711485,3,471.0,109.0
54,4.6053205,-3.0600164563587704,3,472.0,59.0
457,4.60671,1.3350385615148337,3,473.0,80.0
117,4.6093397,4.373618959498251,3,474.0,94.0
451,4.6103415,-1.297341935655559,3,475.0,71.0
118,4.611132,-8.101881951899097,3,476.0,39.0
150,4.612247,-1.571270548792267,3,477.0,67.0
360,4.6123652,-16.629750636715993,3,478.0,14.0
213,4.6132197,4.195101172117365,3,479.0,93.0
217,4.6149964,-13.688973425140896,3,480.0,23.0
366,4.6155868,-6.167964878222799,3,481.0,44.0
198,4.6183057,4.977310650662739,3,482.0,98.0
345,4.6207147,-20.034119709403285,3,483.0,8.0
261,4.6235385,-5.5099296675276985,3,484.0,48.0
294,4.625873,6.787105339332593,3,485.0,104.0
492,4.6268234,-0.15187668693719858,3,486.0,75.0
386,4.63007,-11.460189165765257,3,487.0,30.0
314,4.63319,-1.3655218958685458,3,488.0,69.0
446,4.6336203,1.9262652638818332,3,489.0,85.0
142,4.6346765,-18.193151049543552,3,490.0,11.0
339,4.6349883,-16.916050818790893,3,491.0,13.0
437,4.635873,-1.6638793777549385,3,492.0,66.0
357,4.635913,-5.052320185617093,3,493.0,50.0
162,4.6557336,-15.540452904854932,3,494.0,16.0
378,4.687712,1.6429711181216775,3,495.0,82.0
344,4.6973357,-1.360733130273644,3,496.0,70.0
474,4.698707,10.486468929953597,3,497.0,161.0
465,4.7070727,-13.20277127237966,3,498.0,24.0
285,4.7798305,9.90184537209332,3,499.0,131.0
363,4.779869,1.8176916689225964,3,500.0,84.0
